"2722940"	2	-1
"2723020"	1	-1
"2724044"	3	-2
"4776654"	1	-1
"4777280"	1	-2
"4415364"	1	-1
"4416052"	1	-1
"3925793"	1	-1
"3925807"	2	-1
"3926383"	1	-1
"3926406"	1	-1
"3927832"	2	-2
"3928963"	2	-4
"3929563"	1	-2
"3898451"	2	-2
"3898461"	1	-1
"3907204"	3	-3
"3907219"	2	-1
"3919442"	2	-2
"3919450"	1	-1
"5954426"	1	-2
"3340321"	1	-1
"3340526"	3	-1
"3341325"	1	-1
"5279436"	1	-1
"5345768"	1	-1
"3055318"	2	-1
"3067253"	2	-2
"5266401"	2	-1
"5266407"	2	-1
"5266421"	1	-1
"4598770"	1	-2
"4598774"	1	-1
"4598913"	2	-2
"4598938"	2	-2
"4599283"	1	-1
"3688413"	1	-1
"3688461"	1	-1
"3688470"	2	-1
"3606008"	1	-1
"3606293"	1	-2
"3606301"	1	-1
"3606309"	1	-1
"3606988"	1	-1
"3490925"	1	-1
"2429329"	1	-2
"2429336"	1	-1
"2074828"	1	-1
"2074830"	1	-1
"2074837"	1	-1
"2074842"	1	-1
"2074851"	1	-2
"2074854"	1	-1
"2074895"	2	-1
"2074976"	1	-1
"2076650"	1	-1
"1889124"	1	-1
"1459143"	1	-1
"1393974"	1	-1
"1394713"	2	-1
"1369154"	2	-1
"1369156"	1	-1
"1357695"	1	-1
"1358680"	1	-2
"1358815"	1	-1
"1358933"	1	-1
"1358944"	1	-1
"1358981"	2	-2
"1359002"	1	-1
"1359036"	1	-1
"1359115"	1	-1
"1359187"	1	-2
"1329195"	2	-1
"1330462"	1	-1
"1332609"	2	-1
"1338406"	1	-3
"1306841"	1	-1
"1306842"	1	-1
"1307414"	1	-1
"1313692"	1	-1
"1329239"	1	-1
"1336804"	1	-2
"1344202"	1	-1
"1344205"	1	-1
"1344217"	1	-1
"1344297"	2	-2
"1344487"	2	-1
"1344497"	2	-1
"1345411"	1	-1
"1352357"	1	-1
"1352366"	1	-1
"1352372"	1	-2
